Intercept,Slope,Year
11.90092127,0.015773093,1763
13.43709559,0.010475172,1764
13.62246425,0.007524524,1765
11.08992022,0.020796154,1766
10.64787445,0.019450944,1767
11.43751029,0.017201519,1768
13.20176577,0.012597582,1769
12.33989011,0.01629673,1770
12.38541472,0.017540589,1771
13.76003893,0.015533208,1772
11.80721662,0.019075768,1773
13.72160771,0.006202757,1774
12.82418711,0.01075113,1775
10.80533423,0.014026707,1776
9.730264941,0.018879456,1777
11.15596643,0.017613178,1778
12.52153319,0.013867661,1779
10.9885463,0.014882775,1780
12.32257188,0.012303485,1781
11.1186768,0.011711699,1782
12.76065558,0.008870585,1783
9.080432667,0.023324722,1784
8.487267048,0.026898683,1785
11.44760274,0.006868403,1786
10.10861283,0.023486883,1787
14.47349278,-0.000250121,1788
10.97423905,0.017521562,1789
12.66571955,0.011069127,1790
14.00367906,0.006765583,1791
12.51349652,0.012176863,1792
10.44973431,0.023874496,1793
15.52738371,0.000498614,1794
9.466722114,0.026421834,1795
12.77442548,0.010032761,1796
12.2532967,0.016294583,1797
14.53510838,0.0021721,1798
8.975837724,0.020602878,1799
11.81042225,0.014686666,1800
12.7992684,0.012330519,1801
11.29600783,0.021605017,1802
10.85476667,0.017207278,1803
12.74966839,0.008022831,1804
10.05657308,0.015001135,1805
11.7329708,0.016889972,1806
11.49580686,0.018637331,1807
10.90400704,0.013786028,1808
11.61162953,0.013802758,1809
10.0794227,0.022349139,1810
12.14717522,0.018036994,1811
10.51806273,0.013108635,1812
11.92980581,0.010616377,1813
9.523354408,0.022972413,1814
13.3244794,0.006750481,1815
11.14769419,0.014694201,1816
13.8491254,0.007748622,1817
13.70244618,0.008940896,1818
13.68050178,0.010618812,1819
12.32653492,0.015039803,1820
11.9192669,0.018249384,1821
15.89505745,0.004866193,1822
10.89930152,0.022255482,1823
11.30289655,0.021288618,1824
11.86513322,0.018793343,1825
10.88464022,0.021022252,1826
11.62820149,0.016651418,1827
12.4297803,0.01509247,1828
11.09844122,0.010108076,1829
10.46210108,0.021941135,1830
11.64221286,0.017800618,1831
11.79380081,0.013792884,1832
11.18110761,0.016829748,1833
13.92471203,0.010960103,1834
13.74177149,0.001493726,1835
11.33684737,0.014650078,1836
9.901827789,0.018263835,1837
8.80058588,0.023270397,1838
10.59451513,0.021916041,1839
13.07476023,0.004038269,1840
10.56873677,0.021531219,1841
11.16819835,0.014785402,1842
10.88407417,0.015626317,1843
11.34874088,0.01149987,1844
9.444865317,0.021076242,1845
14.04545184,0.003987569,1846
10.22101549,0.01683775,1847
10.92790083,0.015646478,1848
11.67942674,0.010968705,1849
10.50458549,0.015416216,1850
13.45215444,0.004139764,1851
11.54567421,0.01860314,1852
16.56841155,-0.001900627,1853
11.55328798,0.013478463,1854
9.665082338,0.019262792,1855
11.55328798,0.181262432,1856
13.45099737,0.020829887,1857
15.59209665,0.017135276,1858
17.182302,0.013161491,1859
24.50737387,-0.024932837,1860
13.420376,0.013013402,1861
14.87496579,0.012772723,1862
16.40704489,0.006871564,1863
11.78014317,0.010246293,1864
14.77633237,0.00581886,1865
18.2251903,-0.0098387,1866
